collection,box,pid,citation,creator,declarations,description,themes,label,image_description,associated_web_archives,order,layout,thumbnail,full,manifest
occupy,2,OWS023,"Page from notebook with list of logistical issues at Zucotti, 2011; TAM.630 Occupy Wall Street Archives Working Group Records; box 2; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown,"Exercise your right to peaceably assemble; occupy public space; create a process to address the problems we face, and generate solutions accessible to everyone.","Page from a notebook that covers some of the logistical issues that organizers faced at Zucotti. Under a heading of ""Occupy the Landscape,"" the page mentions the presence of livestreamers, organizing a kitchen, a legal representative, media representatives, medical issues, and garbage/santation. This notebook is one of many instances where the collection documents the realtime decision that activists made at Zucotti during the fall of 2011.",Grassroots Organizing and Mutual Aid,Logistical Issues at Occupy,"Page from a notebook that covers some of the logistical issues that organizers faced at Zucotti. Under a heading of ""Occupy the Landscape"" written in blue ink,  the page mentions the presence of livestreamers, organizing a kitchen, a legal representative, media representatives, medical issues, and garbage/santation. The list is written in purple and blue ink. ",,22,occupy_item,"/img/derivatives/iiif/images/OWS023/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS023/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS023/manifest.json
occupy,2,OWS024,"Page 1 of 2 of Basic Training for Occupy Wall Street Jail Support, 2011; TAM.630 Occupy Wall Street Archives Working Group Records; box 2; Tamiment Library/Robert F. Wagner Labor Archives, New York University","Unknown, National Lawyers Guild",They have used the military and police force to prevent freedom of the press.,"Page 1 of 2. Occupy Wall Street Jail Support: Basic Training. This document provides an introduction to jail support for arrestees who were were released during the fall of 2011. Described as a ""show of solidarity with fellow activists,"" the guide helps explain how activists should mobilize at ""SIS"" (52 Broadway) and collect information to give to the National Lawyers Guild. 52 Broadway was where OWS had temporary storage space and is also the location of the United Federation of Teachers' headquarters.","Policing/Police Brutality, Prison Industrial Complex",Occupy Wall Street Jail Support,"This two-page document provides an introduction to jail support for arrestees who were were released during the fall of 2011. Described as a ""show of solidarity with fellow activists,"" the guide helps explain how activists should mobilize at ""SIS"" (52 Broadway) and collect information to give to the National Lawyers Guild.",,23,occupy_item,"/img/derivatives/iiif/images/OWS024_OWS024_01/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS024_OWS024_01/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS024/manifest.json
occupy,2,OWS025,"Page 1 of 2 How to get a Proposal to the General Assembly; TAM.630 Occupy Wall Street Archives Working Group Records; box 2; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Occupy Wall Street General Assembly; Occupy Wall Street Archives Working Group,"Exercise your right to peaceably assemble; occupy public space; create a process to address the problems we face, and generate solutions accessible to everyone.","Page 1 of 2. A handout labeled ""How to get a Proposal to the General Assembly or Spokes Council."" Participants were encouraged to develop a proposal, seek relevant input, and then submit the proposal to faciliation. Following a review period, they would then get a confirmation of having a place on the agenda before presenting their proposal. The sheet includes a handwritten note that tells activists that ""an emergency proposal must have an external deadline that was not previously knowable."" The second page is a proposal form that individuals could drop off at the Info Desk or at the Facilitation Table at Liberty Plaza.",Grassroots Organizing and Mutual Aid,How to get a Proposal to the General Assembly,"A two-page handout labeled ""How to get a Proposal to the General Assembly or Spokes Council."" Participants were encouraged to develop a proposal, seek relevant input, and then submit the proposal to faciliation. Following a review period, they would then get a confirmation of having a place on the agenda before presenting their proposal. The sheet includes a handwritten note that tells activists that ""an emergency proposal must have an external deadline that was not previously knowable."" The second page is a proposal form that individuals could drop off at the Info Desk or at the Facilitation Table at Liberty Plaza. ",,24,occupy_item,"/img/derivatives/iiif/images/OWS025_OWS025_01/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS025_OWS025_01/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS025/manifest.json
occupy,4,OWS026,"Tent Occupation Sign, 2011; TAM.630 Occupy Wall Street Archives Working Group Records; box 4; Tamiment Library/Robert F. Wagner Labor Archives, New York University",OWS Town Planning,"Exercise your right to peaceably assemble; occupy public space; create a process to address the problems we face, and generate solutions accessible to everyone.","Handout that asks ""Is This Tent Being Occupied"" and by ""How Many People?""  The OWS Town Planning group was interested in counting how many people were camping overnight at Zucotti Park in order to ""improve the space for all of us."" This sheet was taped to the front of tents inside of Zucotti Park. Keeping occupiers safe became an increasing concern for organizers as the camp grew in October and November.  ",Grassroots Organizing and Mutual Aid,Tent Occupation Sign,"Handout that asks ""Is This Tent Being Occupied"" and by ""How Many People?""  This white sheet with black lettering is marked off as ""Yes"" and ""3"" in a purple pen. There is also a red piece of duct tape attached to the sheet and a note from the OWS Town Planning committee that the sheet will be collected in the next 24 hours.",,25,occupy_item,"/img/derivatives/iiif/images/OWS026/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS026/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS026/manifest.json
occupy,4,OWS027,"Page 1 of 4 OWS Structure Proposal, 2011; TAM.630 Occupy Wall Street Archives Working Group Records; box 4; Tamiment Library/Robert F. Wagner Labor Archives, New York University",OWS Structure Working Group,"Exercise your right to peaceably assemble; occupy public space; create a process to address the problems we face, and generate solutions accessible to everyone.","Page 1 of 4. In lieu of Occupy's struggles to meet the ""day-to-day operational needs of working groups and caucuses,"" the OWS Structure Group produced this proposal for future organizing during the fall of 2011. The ""living document"" sought to address logistical challenges without altering OWS non-hiearchical nature. Organizers identified challenges such as access, transparency, functionality, and decision making as part of a broader effort to maintain a leadersless structure during the occupation.",Grassroots Organizing and Mutual Aid,OWS Structure Proposal,"This four-page document was a proposal for future organizing during the fall of 2011. The ""living document"" sought to address logistical challenges without altering OWS non-hiearchical nature. Organizers identified challenges such as access, transparency, functionality, and decision making as part of a broader effort to maintain a leadersless structure during the occupation.",,26,occupy_item,"/img/derivatives/iiif/images/OWS027_OWS027_04/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS027_OWS027_04/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS027/manifest.json
occupy,36,OWS028,"General Assembly pamphlet; TAM.630 Occupy Wall Street Archives Working Group Records; box 36 folder 3; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Occupy Wall Street General Assembly; Occupy Wall Street Archives Working Group,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",Scan whole pamphlet -- general assembly how-tos,Grassroots Organizing and Mutual Aid,,,,27,occupy_item,"/img/derivatives/iiif/images/OWS028_OWS028_01/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS028_OWS028_01/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS028/manifest.json
occupy,36,OWS029,"Occupy Oakland solidarity statement; TAM.630 Occupy Wall Street Archives Working Group Records; box 36 folder 2; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Occupy Wall Street General Assembly; Occupy Wall Street Archives Working Group,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",A statement issued by OWS General Assembly in response to the destruction of Occupy Oakland and the arrest of Occupy Oakland activists at the hands of the Oakland Police Department,"Grassroots Organizing and Mutual Aid; Policing/Police Brutality, Prison Industrial Complex",,,,28,occupy_item,"/img/derivatives/iiif/images/OWS029/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS029/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS029/manifest.json
occupy,36,OWS030,"Anti-Columbus Day flyer; TAM.630 Occupy Wall Street Archives Working Group Records; box 36 folder 17; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown; Occupy Wall Street Archives Working Group,They have perpetuated colonialism at home and abroad,A flyer for a meeting with Indigenous activists who are calling for the end of Columbus Day,Grassroots Organizing and Mutual Aid,,,,29,occupy_item,"/img/derivatives/iiif/images/OWS030/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS030/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS030/manifest.json
occupy,36,OWS031,"Leonard Peltier flyer; TAM.630 Occupy Wall Street Archives Working Group Records; box 36 folder 17; Tamiment Library/Robert F. Wagner Labor Archives, New York University","NYC Chapter, Leonard Peltier Defense Offense Committee; Occupy Wall Street Archives Working Group",They have perpetuated colonialism at home and abroad; They have accepted private contracts to murder prisoners even when presented with serious doubts about their guilt; They have perpetuated colonialism at home and abroad,A flyer created by the NYC Leonard Peltier Defence Offence Committee in support of Leonard Peltier's clemency application,"Policing/Police Brutality, Prison Industrial Complex; Inequality and Discriminiation; Grassroots Organizing and Mutual Aid",,,,30,occupy_item,"/img/derivatives/iiif/images/OWS031_OWS031_01/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS031_OWS031_01/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS031/manifest.json
occupy,36,OWS032,"Rahmarley Graham protest flyer; TAM.630 Occupy Wall Street Archives Working Group Records; box 36 folder 16; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Take Back the Bronx; Occupy Wall Street Archives Working Group,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",Flyer for a Ramarley Graham protest,"Policing/Police Brutality, Prison Industrial Complex;",,,,31,occupy_item,"/img/derivatives/iiif/images/OWS032/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS032/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS032/manifest.json
occupy,36,OWS033,"Dr. Martin Luther King vigil flyer; TAM.630 Occupy Wall Street Archives Working Group Records; box 36 folder 16; Tamiment Library/Robert F. Wagner Labor Archives, New York University",J15 Global; Occupy Wall Street Archives Working Group,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",flyer for MLK vigil,Grassroots Organizing and Mutual Aid,,,,32,occupy_item,"/img/derivatives/iiif/images/OWS033/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS033/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS033/manifest.json
occupy,36,OWS034,"September 17th demonstration action map; TAM.630 Occupy Wall Street Archives Working Group Records; box 36 folder 15; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown; Occupy Wall Street Archives Working Group,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",Maps for September 17th actions,Grassroots Organizing and Mutual Aid,,,,33,occupy_item,"/img/derivatives/iiif/images/OWS034/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS034/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS034/manifest.json
occupy,36,OWS035,"September 17th planning agenda; TAM.630 Occupy Wall Street Archives Working Group Records; box 36 folder 11; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown; Occupy Wall Street Archives Working Group,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",A copy of the meeting agenda in preparation for S17 actions,Grassroots Organizing and Mutual Aid,,,,34,occupy_item,"/img/derivatives/iiif/images/OWS035/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS035/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS035/manifest.json
occupy,36,OWS036,"September 17th tactical framework; TAM.630 Occupy Wall Street Archives Working Group Records; box 36 folder 11; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown; Occupy Wall Street Archives Working Group,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",A document outlining tactical strategies for the S17 actions,Grassroots Organizing and Mutual Aid,,,,35,occupy_item,"/img/derivatives/iiif/images/OWS036_OWS036_01/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS036_OWS036_01/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS036/manifest.json
occupy,36,OWS037,"Consensus Decision Making Flowchart; TAM.630 Occupy Wall Street Archives Working Group Records; box 36 folder 11; Tamiment Library/Robert F. Wagner Labor Archives, New York University",C.T. Lawrence Butler; Occupy Wall Street Working Group,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",A flowchart explaining how consensus based decision making operates,Grassroots Organizing and Mutual Aid,,,,36,occupy_item,"/img/derivatives/iiif/images/OWS037/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS037/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS037/manifest.json
occupy,36,OWS038,"Draft Principles of Solidarity; TAM.630 Occupy Wall Street Archives Working Group Records; box 36 folder 11; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown; Occupy Wall Street Archives Working Group,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",draft princples of solidarity,Grassroots Organizing and Mutual Aid,,,,37,occupy_item,"/img/derivatives/iiif/images/OWS038/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS038/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS038/manifest.json
occupy,37,OWS039,"NYU Student Debt cardboard sign; TAM.630 Occupy Wall Street Archives Working Group Records; box 37; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown; Occupy Wall Street Archives Working Group,"They have held students hostage with tens of thousands of dollars of debt on education, which is itself a human right.","cardboard sign reading ""In 2018 will I have a job? - NYU student 1 semester in & $5,000 in debt""",Wealth Disparity -- Student Debt,,,,38,occupy_item,"/img/derivatives/iiif/images/OWS039/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS039/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS039/manifest.json
occupy,40,OWS040,"Stop Stop and Frisk fabric patch; TAM.630 Occupy Wall Street Archives Working Group Records; box 40; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown; Occupy Wall Street Archives Working Group,"They have perpetuated colonialism at home and abroad; They have purposely covered up oil spills, accidents, faulty bookkeeping, and inactive ingredients in pursuit of profit.","patch on white cloth; in black ink it reads ""no justice no peace. end stop and frisk! #occupywallstreet","Policing/Police Brutality, Prison Industrial Complex; Inequality and Discrimination",,,,39,occupy_item,"/img/derivatives/iiif/images/OWS040/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS040/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS040/manifest.json
occupy,40,OWS041,"Stop Stop and Frisk fabric patch; TAM.630 Occupy Wall Street Archives Working Group Records; box 40; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown; Occupy Wall Street Archives Working Group,They continue to block alternate forms of energy to keep us dependent on oil; They purposefully keep people misinformed and fearful through their control of the media.,"two cloth patches one reads ""stop climate chaos"" #floodwall street and the other reads ""disseminate alternatives. systemic change for climate justice."" both are on white cloth with blue ink",Environmentalism,,,,40,occupy_item,"/img/derivatives/iiif/images/OWS041/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS041/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS041/manifest.json
occupy,36,OWS042,TAM.630_Box36_Folder16_mortgagerally_flier,Unknown; Occupy Wall Street Archives Working Group,"They have taken our houses through an illegal foreclosure process, despite not having the original mortgage.","Flyer for an ""underwater mortgage rally."" In the wake of the 2008 recession that led to approximately 10 million people losing their homes, Occupy sought to bring renewed attention to housing. After a period of widespread predatory lending and unregulated markets, the federal government did little to combat the growing housing crisis in the United States.",Wealth Disparity -- Housing,,,,41,occupy_item,"/img/derivatives/iiif/images/OWS042/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS042/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS042/manifest.json
occupy,23,OWS043,"Armed Gang NYPD Sign, 2011; TAM.630 Occupy Wall Street Archives Working Group Records; box 23; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown; Occupy Wall Street Archives Working Group,They have used the military and police force to prevent freedom of the press.,"Laborers Local 108 sign that reads ""Wall Street May Have Money and Influence BUT The People Got the Power!"" Local 108 was just one of many union locals present at the protests as OWS's Labor Outreach Commitee helped build conntections between Occupy and NYC labor.","Policing/Police Brutality, Prison Industrial Complex",,,,42,occupy_item,"/img/derivatives/iiif/images/OWS043/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS043/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS043/manifest.json
